Year,mean,n,Population,Region
1960,NA,NA,Aniak,Kuskokwim
1961,NA,NA,Aniak,Kuskokwim
1962,NA,NA,Aniak,Kuskokwim
1963,NA,NA,Aniak,Kuskokwim
1964,NA,NA,Aniak,Kuskokwim
1965,NA,NA,Aniak,Kuskokwim
1966,NA,NA,Aniak,Kuskokwim
1967,NA,NA,Aniak,Kuskokwim
1968,NA,NA,Aniak,Kuskokwim
1969,NA,NA,Aniak,Kuskokwim
1970,NA,NA,Aniak,Kuskokwim
1971,NA,NA,Aniak,Kuskokwim
1972,NA,NA,Aniak,Kuskokwim
1973,NA,NA,Aniak,Kuskokwim
1974,NA,NA,Aniak,Kuskokwim
1975,848.375,8,Aniak,Kuskokwim
1976,NA,NA,Aniak,Kuskokwim
1977,NA,NA,Aniak,Kuskokwim
1978,NA,NA,Aniak,Kuskokwim
1979,NA,NA,Aniak,Kuskokwim
1980,763.25,8,Aniak,Kuskokwim
1981,841.8064516,31,Aniak,Kuskokwim
1982,NA,NA,Aniak,Kuskokwim
1983,887.5,4,Aniak,Kuskokwim
1984,NA,NA,Aniak,Kuskokwim
1985,859.137931,29,Aniak,Kuskokwim
1986,NA,NA,Aniak,Kuskokwim
1987,NA,NA,Aniak,Kuskokwim
1988,NA,NA,Aniak,Kuskokwim
1989,896.9130435,23,Aniak,Kuskokwim
1990,NA,NA,Aniak,Kuskokwim
1991,NA,NA,Aniak,Kuskokwim
1992,829.1481481,33,Aniak,Kuskokwim
1993,NA,NA,Aniak,Kuskokwim
1994,NA,NA,Aniak,Kuskokwim
1995,NA,NA,Aniak,Kuskokwim
1996,573.75,4,Aniak,Kuskokwim
1997,NA,NA,Aniak,Kuskokwim
1998,NA,NA,Aniak,Kuskokwim
1999,NA,NA,Aniak,Kuskokwim
2000,NA,NA,Aniak,Kuskokwim
2001,NA,NA,Aniak,Kuskokwim
2002,NA,NA,Aniak,Kuskokwim
2003,NA,NA,Aniak,Kuskokwim
2004,NA,NA,Aniak,Kuskokwim
2005,NA,NA,Aniak,Kuskokwim
2006,NA,NA,Aniak,Kuskokwim
2007,737.3958333,48,Aniak,Kuskokwim
2008,NA,NA,Aniak,Kuskokwim
2009,NA,NA,Aniak,Kuskokwim
2010,NA,NA,Aniak,Kuskokwim
2011,NA,NA,Aniak,Kuskokwim
2012,NA,NA,Aniak,Kuskokwim
2013,NA,NA,Aniak,Kuskokwim
2014,NA,NA,Aniak,Kuskokwim
2015,NA,NA,Aniak,Kuskokwim
2016,NA,NA,Aniak,Kuskokwim
2017,NA,NA,Aniak,Kuskokwim
1960,NA,NA,George,Kuskokwim
1961,NA,NA,George,Kuskokwim
1962,NA,NA,George,Kuskokwim
1963,NA,NA,George,Kuskokwim
1964,NA,NA,George,Kuskokwim
1965,NA,NA,George,Kuskokwim
1966,NA,NA,George,Kuskokwim
1967,NA,NA,George,Kuskokwim
1968,NA,NA,George,Kuskokwim
1969,NA,NA,George,Kuskokwim
1970,NA,NA,George,Kuskokwim
1971,NA,NA,George,Kuskokwim
1972,NA,NA,George,Kuskokwim
1973,NA,NA,George,Kuskokwim
1974,NA,NA,George,Kuskokwim
1975,NA,NA,George,Kuskokwim
1976,NA,NA,George,Kuskokwim
1977,NA,NA,George,Kuskokwim
1978,NA,NA,George,Kuskokwim
1979,NA,NA,George,Kuskokwim
1980,NA,NA,George,Kuskokwim
1981,NA,NA,George,Kuskokwim
1982,NA,NA,George,Kuskokwim
1983,NA,NA,George,Kuskokwim
1984,NA,NA,George,Kuskokwim
1985,NA,NA,George,Kuskokwim
1986,NA,NA,George,Kuskokwim
1987,NA,NA,George,Kuskokwim
1988,NA,NA,George,Kuskokwim
1989,NA,NA,George,Kuskokwim
1990,NA,NA,George,Kuskokwim
1991,NA,NA,George,Kuskokwim
1992,NA,NA,George,Kuskokwim
1993,NA,NA,George,Kuskokwim
1994,NA,NA,George,Kuskokwim
1995,NA,NA,George,Kuskokwim
1996,839.2347826,115,George,Kuskokwim
1997,767.5704225,142,George,Kuskokwim
1998,771,22,George,Kuskokwim
1999,829.8529412,34,George,Kuskokwim
2000,827.6190476,42,George,Kuskokwim
2001,816.72,25,George,Kuskokwim
2002,849.1223022,139,George,Kuskokwim
2003,876.4444444,9,George,Kuskokwim
2004,835.3135593,118,George,Kuskokwim
2005,806.3679245,212,George,Kuskokwim
2006,828.0582524,103,George,Kuskokwim
2007,824.375,40,George,Kuskokwim
2008,815.9793814,97,George,Kuskokwim
2009,835.037037,81,George,Kuskokwim
2010,808.46,50,George,Kuskokwim
2011,779.6117647,85,George,Kuskokwim
2012,829.0701754,57,George,Kuskokwim
2013,816.71875,64,George,Kuskokwim
2014,821.8534483,116,George,Kuskokwim
2015,819.0697674,43,George,Kuskokwim
2016,746.3333333,12,George,Kuskokwim
2017,NA,NA,George,Kuskokwim
1960,NA,NA,Goodnews,Kuskokwim
1961,NA,NA,Goodnews,Kuskokwim
1962,NA,NA,Goodnews,Kuskokwim
1963,NA,NA,Goodnews,Kuskokwim
1964,NA,NA,Goodnews,Kuskokwim
1965,NA,NA,Goodnews,Kuskokwim
1966,NA,NA,Goodnews,Kuskokwim
1967,NA,NA,Goodnews,Kuskokwim
1968,NA,NA,Goodnews,Kuskokwim
1969,NA,NA,Goodnews,Kuskokwim
1970,NA,NA,Goodnews,Kuskokwim
1971,NA,NA,Goodnews,Kuskokwim
1972,NA,NA,Goodnews,Kuskokwim
1973,NA,NA,Goodnews,Kuskokwim
1974,NA,NA,Goodnews,Kuskokwim
1975,NA,NA,Goodnews,Kuskokwim
1976,NA,NA,Goodnews,Kuskokwim
1977,NA,NA,Goodnews,Kuskokwim
1978,NA,NA,Goodnews,Kuskokwim
1979,NA,NA,Goodnews,Kuskokwim
1980,NA,NA,Goodnews,Kuskokwim
1981,NA,NA,Goodnews,Kuskokwim
1982,NA,NA,Goodnews,Kuskokwim
1983,858.0447761,67,Goodnews,Kuskokwim
1984,866.6,66,Goodnews,Kuskokwim
1985,933.2222222,18,Goodnews,Kuskokwim
1986,NA,NA,Goodnews,Kuskokwim
1987,783.5454545,22,Goodnews,Kuskokwim
1988,854.0909091,44,Goodnews,Kuskokwim
1989,829.9545455,22,Goodnews,Kuskokwim
1990,665.7647059,17,Goodnews,Kuskokwim
1991,850.6698113,107,Goodnews,Kuskokwim
1992,850.9285714,56,Goodnews,Kuskokwim
1993,780.2,25,Goodnews,Kuskokwim
1994,817.5630252,119,Goodnews,Kuskokwim
1995,861.0855263,152,Goodnews,Kuskokwim
1996,821.1111111,72,Goodnews,Kuskokwim
1997,828.2352941,34,Goodnews,Kuskokwim
1998,NA,NA,Goodnews,Kuskokwim
1999,800,11,Goodnews,Kuskokwim
2000,811.1323529,68,Goodnews,Kuskokwim
2001,842.25,20,Goodnews,Kuskokwim
2002,864.9,70,Goodnews,Kuskokwim
2003,825.9266055,109,Goodnews,Kuskokwim
2004,765.8474576,59,Goodnews,Kuskokwim
2005,788.8059701,67,Goodnews,Kuskokwim
2006,805.84375,32,Goodnews,Kuskokwim
2007,775.3333333,6,Goodnews,Kuskokwim
2008,812.4444444,63,Goodnews,Kuskokwim
2009,841.725,40,Goodnews,Kuskokwim
2010,816.625,24,Goodnews,Kuskokwim
2011,821.5909091,22,Goodnews,Kuskokwim
2012,798.96,25,Goodnews,Kuskokwim
2013,854.7761194,134,Goodnews,Kuskokwim
2014,842.75,40,Goodnews,Kuskokwim
2015,805.4571429,35,Goodnews,Kuskokwim
2016,797.1875,16,Goodnews,Kuskokwim
2017,NA,NA,Goodnews,Kuskokwim
1960,NA,NA,Holitna,Kuskokwim
1961,NA,NA,Holitna,Kuskokwim
1962,NA,NA,Holitna,Kuskokwim
1963,NA,NA,Holitna,Kuskokwim
1964,NA,NA,Holitna,Kuskokwim
1965,NA,NA,Holitna,Kuskokwim
1966,NA,NA,Holitna,Kuskokwim
1967,NA,NA,Holitna,Kuskokwim
1968,NA,NA,Holitna,Kuskokwim
1969,NA,NA,Holitna,Kuskokwim
1970,NA,NA,Holitna,Kuskokwim
1971,NA,NA,Holitna,Kuskokwim
1972,NA,NA,Holitna,Kuskokwim
1973,NA,NA,Holitna,Kuskokwim
1974,NA,NA,Holitna,Kuskokwim
1975,NA,NA,Holitna,Kuskokwim
1976,NA,NA,Holitna,Kuskokwim
1977,NA,NA,Holitna,Kuskokwim
1978,NA,NA,Holitna,Kuskokwim
1979,NA,NA,Holitna,Kuskokwim
1980,NA,NA,Holitna,Kuskokwim
1981,NA,NA,Holitna,Kuskokwim
1982,NA,NA,Holitna,Kuskokwim
1983,NA,NA,Holitna,Kuskokwim
1984,NA,NA,Holitna,Kuskokwim
1985,NA,NA,Holitna,Kuskokwim
1986,NA,NA,Holitna,Kuskokwim
1987,NA,NA,Holitna,Kuskokwim
1988,NA,NA,Holitna,Kuskokwim
1989,NA,NA,Holitna,Kuskokwim
1990,NA,NA,Holitna,Kuskokwim
1991,NA,NA,Holitna,Kuskokwim
1992,NA,NA,Holitna,Kuskokwim
1993,NA,NA,Holitna,Kuskokwim
1994,NA,NA,Holitna,Kuskokwim
1995,NA,NA,Holitna,Kuskokwim
1996,NA,NA,Holitna,Kuskokwim
1997,NA,NA,Holitna,Kuskokwim
1998,NA,NA,Holitna,Kuskokwim
1999,NA,NA,Holitna,Kuskokwim
2000,NA,NA,Holitna,Kuskokwim
2001,NA,NA,Holitna,Kuskokwim
2002,NA,NA,Holitna,Kuskokwim
2003,NA,NA,Holitna,Kuskokwim
2004,NA,NA,Holitna,Kuskokwim
2005,NA,NA,Holitna,Kuskokwim
2006,NA,NA,Holitna,Kuskokwim
2007,NA,NA,Holitna,Kuskokwim
2008,NA,NA,Holitna,Kuskokwim
2009,NA,NA,Holitna,Kuskokwim
2010,NA,NA,Holitna,Kuskokwim
2011,NA,NA,Holitna,Kuskokwim
2012,NA,NA,Holitna,Kuskokwim
2013,NA,NA,Holitna,Kuskokwim
2014,NA,NA,Holitna,Kuskokwim
2015,NA,NA,Holitna,Kuskokwim
2016,NA,NA,Holitna,Kuskokwim
2017,NA,NA,Holitna,Kuskokwim
1960,NA,NA,Holokuk,Kuskokwim
1961,NA,NA,Holokuk,Kuskokwim
1962,NA,NA,Holokuk,Kuskokwim
1963,NA,NA,Holokuk,Kuskokwim
1964,NA,NA,Holokuk,Kuskokwim
1965,NA,NA,Holokuk,Kuskokwim
1966,NA,NA,Holokuk,Kuskokwim
1967,NA,NA,Holokuk,Kuskokwim
1968,NA,NA,Holokuk,Kuskokwim
1969,NA,NA,Holokuk,Kuskokwim
1970,NA,NA,Holokuk,Kuskokwim
1971,NA,NA,Holokuk,Kuskokwim
1972,NA,NA,Holokuk,Kuskokwim
1973,NA,NA,Holokuk,Kuskokwim
1974,NA,NA,Holokuk,Kuskokwim
1975,NA,NA,Holokuk,Kuskokwim
1976,NA,NA,Holokuk,Kuskokwim
1977,NA,NA,Holokuk,Kuskokwim
1978,NA,NA,Holokuk,Kuskokwim
1979,NA,NA,Holokuk,Kuskokwim
1980,NA,NA,Holokuk,Kuskokwim
1981,NA,NA,Holokuk,Kuskokwim
1982,NA,NA,Holokuk,Kuskokwim
1983,NA,NA,Holokuk,Kuskokwim
1984,NA,NA,Holokuk,Kuskokwim
1985,NA,NA,Holokuk,Kuskokwim
1986,NA,NA,Holokuk,Kuskokwim
1987,NA,NA,Holokuk,Kuskokwim
1988,NA,NA,Holokuk,Kuskokwim
1989,NA,NA,Holokuk,Kuskokwim
1990,NA,NA,Holokuk,Kuskokwim
1991,NA,NA,Holokuk,Kuskokwim
1992,NA,NA,Holokuk,Kuskokwim
1993,NA,NA,Holokuk,Kuskokwim
1994,NA,NA,Holokuk,Kuskokwim
1995,NA,NA,Holokuk,Kuskokwim
1996,NA,NA,Holokuk,Kuskokwim
1997,NA,NA,Holokuk,Kuskokwim
1998,NA,NA,Holokuk,Kuskokwim
1999,NA,NA,Holokuk,Kuskokwim
2000,NA,NA,Holokuk,Kuskokwim
2001,NA,NA,Holokuk,Kuskokwim
2002,NA,NA,Holokuk,Kuskokwim
2003,NA,NA,Holokuk,Kuskokwim
2004,NA,NA,Holokuk,Kuskokwim
2005,NA,NA,Holokuk,Kuskokwim
2006,NA,NA,Holokuk,Kuskokwim
2007,NA,NA,Holokuk,Kuskokwim
2008,NA,NA,Holokuk,Kuskokwim
2009,NA,NA,Holokuk,Kuskokwim
2010,NA,NA,Holokuk,Kuskokwim
2011,NA,NA,Holokuk,Kuskokwim
2012,NA,NA,Holokuk,Kuskokwim
2013,NA,NA,Holokuk,Kuskokwim
2014,NA,NA,Holokuk,Kuskokwim
2015,NA,NA,Holokuk,Kuskokwim
2016,NA,NA,Holokuk,Kuskokwim
2017,NA,NA,Holokuk,Kuskokwim
1960,NA,NA,Kisaralik,Kuskokwim
1961,NA,NA,Kisaralik,Kuskokwim
1962,NA,NA,Kisaralik,Kuskokwim
1963,NA,NA,Kisaralik,Kuskokwim
1964,NA,NA,Kisaralik,Kuskokwim
1965,NA,NA,Kisaralik,Kuskokwim
1966,NA,NA,Kisaralik,Kuskokwim
1967,NA,NA,Kisaralik,Kuskokwim
1968,NA,NA,Kisaralik,Kuskokwim
1969,NA,NA,Kisaralik,Kuskokwim
1970,NA,NA,Kisaralik,Kuskokwim
1971,NA,NA,Kisaralik,Kuskokwim
1972,NA,NA,Kisaralik,Kuskokwim
1973,NA,NA,Kisaralik,Kuskokwim
1974,NA,NA,Kisaralik,Kuskokwim
1975,NA,NA,Kisaralik,Kuskokwim
1976,NA,NA,Kisaralik,Kuskokwim
1977,NA,NA,Kisaralik,Kuskokwim
1978,NA,NA,Kisaralik,Kuskokwim
1979,NA,NA,Kisaralik,Kuskokwim
1980,NA,NA,Kisaralik,Kuskokwim
1981,NA,NA,Kisaralik,Kuskokwim
1982,NA,NA,Kisaralik,Kuskokwim
1983,NA,NA,Kisaralik,Kuskokwim
1984,NA,NA,Kisaralik,Kuskokwim
1985,NA,NA,Kisaralik,Kuskokwim
1986,965,1,Kisaralik,Kuskokwim
1987,NA,NA,Kisaralik,Kuskokwim
1988,NA,NA,Kisaralik,Kuskokwim
1989,NA,NA,Kisaralik,Kuskokwim
1990,NA,NA,Kisaralik,Kuskokwim
1991,NA,NA,Kisaralik,Kuskokwim
1992,NA,NA,Kisaralik,Kuskokwim
1993,NA,NA,Kisaralik,Kuskokwim
1994,NA,NA,Kisaralik,Kuskokwim
1995,NA,NA,Kisaralik,Kuskokwim
1996,NA,NA,Kisaralik,Kuskokwim
1997,NA,NA,Kisaralik,Kuskokwim
1998,NA,NA,Kisaralik,Kuskokwim
1999,NA,NA,Kisaralik,Kuskokwim
2000,NA,NA,Kisaralik,Kuskokwim
2001,858.4642857,28,Kisaralik,Kuskokwim
2002,NA,NA,Kisaralik,Kuskokwim
2003,NA,NA,Kisaralik,Kuskokwim
2004,NA,NA,Kisaralik,Kuskokwim
2005,NA,NA,Kisaralik,Kuskokwim
2006,NA,NA,Kisaralik,Kuskokwim
2007,NA,NA,Kisaralik,Kuskokwim
2008,NA,NA,Kisaralik,Kuskokwim
2009,NA,NA,Kisaralik,Kuskokwim
2010,NA,NA,Kisaralik,Kuskokwim
2011,NA,NA,Kisaralik,Kuskokwim
2012,NA,NA,Kisaralik,Kuskokwim
2013,NA,NA,Kisaralik,Kuskokwim
2014,NA,NA,Kisaralik,Kuskokwim
2015,NA,NA,Kisaralik,Kuskokwim
2016,NA,NA,Kisaralik,Kuskokwim
2017,NA,NA,Kisaralik,Kuskokwim
1960,NA,NA,Kogrukluk,Kuskokwim
1961,NA,NA,Kogrukluk,Kuskokwim
1962,NA,NA,Kogrukluk,Kuskokwim
1963,NA,NA,Kogrukluk,Kuskokwim
1964,NA,NA,Kogrukluk,Kuskokwim
1965,NA,NA,Kogrukluk,Kuskokwim
1966,NA,NA,Kogrukluk,Kuskokwim
1967,NA,NA,Kogrukluk,Kuskokwim
1968,862.8,5,Kogrukluk,Kuskokwim
1969,914,1,Kogrukluk,Kuskokwim
1970,NA,NA,Kogrukluk,Kuskokwim
1971,967.2857143,7,Kogrukluk,Kuskokwim
1972,869.5,2,Kogrukluk,Kuskokwim
1973,861.5,4,Kogrukluk,Kuskokwim
1974,NA,NA,Kogrukluk,Kuskokwim
1975,NA,NA,Kogrukluk,Kuskokwim
1976,902.260355,169,Kogrukluk,Kuskokwim
1977,NA,NA,Kogrukluk,Kuskokwim
1978,922.7938144,291,Kogrukluk,Kuskokwim
1979,906.8378378,74,Kogrukluk,Kuskokwim
1980,888.2307692,39,Kogrukluk,Kuskokwim
1981,908.0948081,444,Kogrukluk,Kuskokwim
1982,881.4047619,210,Kogrukluk,Kuskokwim
1983,880.2205882,137,Kogrukluk,Kuskokwim
1984,860.3674699,332,Kogrukluk,Kuskokwim
1985,863.9455041,367,Kogrukluk,Kuskokwim
1986,872.0710059,169,Kogrukluk,Kuskokwim
1987,865.5882353,51,Kogrukluk,Kuskokwim
1988,864.2050562,356,Kogrukluk,Kuskokwim
1989,883,85,Kogrukluk,Kuskokwim
1990,845.9459459,74,Kogrukluk,Kuskokwim
1991,881.3172043,186,Kogrukluk,Kuskokwim
1992,881.5254237,118,Kogrukluk,Kuskokwim
1993,871.2121212,99,Kogrukluk,Kuskokwim
1994,860.9705882,68,Kogrukluk,Kuskokwim
1995,858.7842466,292,Kogrukluk,Kuskokwim
1996,856.503268,153,Kogrukluk,Kuskokwim
1997,870.3525641,156,Kogrukluk,Kuskokwim
1998,843.5,40,Kogrukluk,Kuskokwim
1999,843.4640523,153,Kogrukluk,Kuskokwim
2000,834.0697674,43,Kogrukluk,Kuskokwim
2001,840.2962963,135,Kogrukluk,Kuskokwim
2002,845.6642336,137,Kogrukluk,Kuskokwim
2003,845.9530201,149,Kogrukluk,Kuskokwim
2004,838.2285714,140,Kogrukluk,Kuskokwim
